candidates_per_second,dataset,depth,latency_s_per_query,method,model_size_mb,mrr@10,n_queries,ndcg@10,qrels_split,query_cap,recall@100,seed,timing_repeats
6641.126355653187,scifact,20,0.003011537340044015,bm25_no_rerank,0.0,0.7039285714285713,100,0.7430290766937216,test,100,0.9,1,5
64.7929886698259,scifact,20,0.3086753738420157,fp32_reranker_cpu,86.68552494049072,0.6981071428571429,100,0.7334422754034358,test,100,0.9,1,5
83.99281676567642,scifact,20,0.23811560047802777,dynamic_int8_reranker_cpu,55.916077613830566,0.7002777777777777,100,0.7346989725871955,test,100,0.9,1,5
6538.419020893606,scifact,20,0.00305884342011268,bm25_no_rerank,0.0,0.6516785714285714,100,0.6720783320110995,test,100,0.8206666666666667,2,5
65.18958652697623,scifact,20,0.30679746667397195,fp32_reranker_cpu,86.68552494049072,0.6650952380952382,100,0.6862831073265322,test,100,0.8206666666666667,2,5
82.52875442204041,scifact,20,0.24233977769400009,dynamic_int8_reranker_cpu,55.916077613830566,0.6611944444444445,100,0.6838148697883065,test,100,0.8206666666666667,2,5
6833.567720294463,scifact,20,0.0029267288799383097,bm25_no_rerank,0.0,0.6877896825396824,100,0.7147762180747904,test,100,0.8656666666666666,3,5
63.64161917331216,scifact,20,0.3142597605119845,fp32_reranker_cpu,86.68552494049072,0.7081785714285715,100,0.7286778663772426,test,100,0.8656666666666666,3,5
83.03380090533453,scifact,20,0.2408657652899892,dynamic_int8_reranker_cpu,55.916077613830566,0.7064444444444444,100,0.7249242490105102,test,100,0.8656666666666666,3,5
6290.621966627156,scifact,20,0.0031793358599679776,bm25_no_rerank,0.0,0.5994563492063493,100,0.6371884155329548,test,100,0.8066666666666665,4,5
63.87475902136832,scifact,20,0.3131127272559934,fp32_reranker_cpu,86.68552494049072,0.6150833333333334,100,0.6435818167926507,test,100,0.8066666666666665,4,5
83.29223052427166,scifact,20,0.24011843450598827,dynamic_int8_reranker_cpu,55.916077613830566,0.6313055555555558,100,0.6572773704084114,test,100,0.8066666666666665,4,5
6561.450160614793,scifact,20,0.0030481066700849624,bm25_no_rerank,0.0,0.62025,100,0.6453074534299583,test,100,0.7965000000000001,5,5
63.79852595808392,scifact,20,0.3134868666580187,fp32_reranker_cpu,86.68552494049072,0.6341785714285715,100,0.6576158698108006,test,100,0.7965000000000001,5,5
83.40839300076485,scifact,20,0.23978402269201615,dynamic_int8_reranker_cpu,55.916077613830566,0.6343452380952381,100,0.6577429979825495,test,100,0.7965000000000001,5,5
15932.349916885767,scifact,50,0.003138269009959913,bm25_no_rerank,0.0,0.7039285714285713,100,0.7430290766937216,test,100,0.9325,1,5
62.980537659903234,scifact,50,0.7938960488079901,fp32_reranker_cpu,86.68552494049072,0.6968452380952381,100,0.7302884684859179,test,100,0.9325,1,5
79.93458394579007,scifact,50,0.6255114811620078,dynamic_int8_reranker_cpu,55.916077613830566,0.6994166666666668,100,0.7318404877490409,test,100,0.9325,1,5
15978.70322667464,scifact,50,0.003129165069949522,bm25_no_rerank,0.0,0.6516785714285714,100,0.6720783320110995,test,100,0.8846666666666667,2,5
61.90647988582438,scifact,50,0.8076698932359941,fp32_reranker_cpu,86.68552494049072,0.661484126984127,100,0.6886809435934661,test,100,0.8846666666666667,2,5
79.54016970513906,scifact,50,0.6286131923700122,dynamic_int8_reranker_cpu,55.916077613830566,0.6577777777777779,100,0.6893093250435599,test,100,0.8846666666666667,2,5
16731.554759470342,scifact,50,0.0029883654399600348,bm25_no_rerank,0.0,0.6877896825396824,100,0.7147762180747904,test,100,0.9196666666666666,3,5
62.70024682317797,scifact,50,0.7974450266680105,fp32_reranker_cpu,86.68552494049072,0.6864444444444446,100,0.7171252135335265,test,100,0.9196666666666666,3,5
80.77914598300951,scifact,50,0.6189716342200081,dynamic_int8_reranker_cpu,55.916077613830566,0.6863333333333336,100,0.7176259454558991,test,100,0.9196666666666666,3,5
15698.396823742829,scifact,50,0.003185038610081392,bm25_no_rerank,0.0,0.5994563492063493,100,0.6371884155329548,test,100,0.8366666666666666,4,5
61.83885833351315,scifact,50,0.8085530901999664,fp32_reranker_cpu,86.68552494049072,0.6164444444444446,100,0.6466259781668288,test,100,0.8366666666666666,4,5
80.89394216542644,scifact,50,0.6180932547180237,dynamic_int8_reranker_cpu,55.916077613830566,0.6264444444444446,100,0.6535008776682032,test,100,0.8366666666666666,4,5
16318.3245073804,scifact,50,0.0030640400598349517,bm25_no_rerank,0.0,0.62025,100,0.6453074534299583,test,100,0.8654999999999999,5,5
62.85384901746226,scifact,50,0.7954962310440024,fp32_reranker_cpu,86.68552494049072,0.6366904761904764,100,0.6646533455292447,test,100,0.8654999999999999,5,5
81.7178187624898,scifact,50,0.611861657068006,dynamic_int8_reranker_cpu,55.916077613830566,0.6374166666666667,100,0.6662996238483716,test,100,0.8654999999999999,5,5
32357.66422340959,scifact,100,0.003090457930138655,bm25_no_rerank,0.0,0.7039285714285713,100,0.7430290766937216,test,100,0.935,1,5
53.96809387110439,scifact,100,1.852946673248025,fp32_reranker_cpu,86.68552494049072,0.6925515873015874,100,0.7247379343015515,test,100,0.935,1,5
70.12306874331958,scifact,100,1.426064229533975,dynamic_int8_reranker_cpu,55.916077613830566,0.6941666666666668,100,0.723465936449195,test,100,0.935,1,5
30976.804333332788,scifact,100,0.003228221960016526,bm25_no_rerank,0.0,0.6516785714285714,100,0.6720783320110995,test,100,0.8846666666666667,2,5
50.99920719374969,scifact,100,1.9608147950240236,fp32_reranker_cpu,86.68552494049072,0.6580396825396826,100,0.6825251351662699,test,100,0.8846666666666667,2,5
67.89124708158202,scifact,100,1.4729439257439807,dynamic_int8_reranker_cpu,55.916077613830566,0.6519285714285715,100,0.6771044647598684,test,100,0.8846666666666667,2,5
30227.079544020347,scifact,100,0.0033082918200670972,bm25_no_rerank,0.0,0.6877896825396824,100,0.7147762180747904,test,100,0.9296666666666666,3,5
54.88320122601886,scifact,100,1.822051151648062,fp32_reranker_cpu,86.68552494049072,0.6845000000000002,100,0.7120588248225909,test,100,0.9296666666666666,3,5
75.54475422241994,scifact,100,1.32371864902199,dynamic_int8_reranker_cpu,55.916077613830566,0.6831666666666666,100,0.709604864351719,test,100,0.9296666666666666,3,5
28513.13062733033,scifact,100,0.0035071560996584594,bm25_no_rerank,0.0,0.5994563492063493,100,0.6371884155329548,test,100,0.8566666666666666,4,5
57.51044047093812,scifact,100,1.738814712270083,fp32_reranker_cpu,86.68552494049072,0.6140000000000001,100,0.6405680000389825,test,100,0.8566666666666666,4,5
66.99248238703821,scifact,100,1.4927047996559704,dynamic_int8_reranker_cpu,55.916077613830566,0.622,100,0.6460224184694762,test,100,0.8566666666666666,4,5
25216.386096130587,scifact,100,0.0039656753199597,bm25_no_rerank,0.0,0.62025,100,0.6453074534299583,test,100,0.878,5,5
50.982403269777755,scifact,100,1.9614610843439733,fp32_reranker_cpu,86.68552494049072,0.6361349206349208,100,0.6632037561495558,test,100,0.878,5,5
72.46840551603508,scifact,100,1.3799116910040612,dynamic_int8_reranker_cpu,55.916077613830566,0.6363452380952382,100,0.664318814069373,test,100,0.878,5,5
33585.564834649624,nfcorpus,20,0.0005954939301591367,bm25_no_rerank,0.0,0.4709563492063494,100,0.2861539020061345,test,100,0.18492532077866752,1,5
76.88886273951329,nfcorpus,20,0.26011569539995255,fp32_reranker_cpu,86.68552494049072,0.5204682539682541,100,0.310414746406733,test,100,0.18492532077866752,1,5
98.88080242394291,nfcorpus,20,0.20226373077204335,dynamic_int8_reranker_cpu,55.916077613830566,0.5105119047619049,100,0.3021591718912688,test,100,0.18492532077866752,1,5
32096.93376016079,nfcorpus,20,0.0006231124801342958,bm25_no_rerank,0.0,0.5098730158730159,100,0.2935293131883013,test,100,0.16825718534737114,2,5
77.31459602240132,nfcorpus,20,0.25868336677598563,fp32_reranker_cpu,86.68552494049072,0.569623015873016,100,0.3235069661993717,test,100,0.16825718534737114,2,5
97.70096161808543,nfcorpus,20,0.204706275852026,dynamic_int8_reranker_cpu,55.916077613830566,0.5573333333333333,100,0.3182706518942498,test,100,0.16825718534737114,2,5
31577.525544463344,nfcorpus,20,0.0006333618500866578,bm25_no_rerank,0.0,0.48783333333333334,100,0.30309632405244336,test,100,0.16660244063661217,3,5
78.44641299181627,nfcorpus,20,0.25495110913594543,fp32_reranker_cpu,86.68552494049072,0.5224166666666666,100,0.333407648278533,test,100,0.16660244063661217,3,5
99.28667354653862,nfcorpus,20,0.20143690271409287,dynamic_int8_reranker_cpu,55.916077613830566,0.5219722222222223,100,0.3316522397345476,test,100,0.16660244063661217,3,5
35719.80568943077,nfcorpus,20,0.0005599134601652622,bm25_no_rerank,0.0,0.4819563492063493,100,0.3025857288661746,test,100,0.18096595666039175,4,5
77.40372090647,nfcorpus,20,0.25838551126200765,fp32_reranker_cpu,86.68552494049072,0.5788452380952381,100,0.34211255364190785,test,100,0.18096595666039175,4,5
97.20994746693597,nfcorpus,20,0.20574026137399778,dynamic_int8_reranker_cpu,55.916077613830566,0.5683452380952382,100,0.3375145069586708,test,100,0.18096595666039175,4,5
31170.074571602825,nfcorpus,20,0.0006416410699966946,bm25_no_rerank,0.0,0.5914444444444444,100,0.39015483810993823,test,100,0.22228993172665143,5,5
77.77587605528211,nfcorpus,20,0.2571491446240252,fp32_reranker_cpu,86.68552494049072,0.6133888888888889,100,0.41314377596914015,test,100,0.22228993172665143,5,5
98.79836871050098,nfcorpus,20,0.20243249216597906,dynamic_int8_reranker_cpu,55.916077613830566,0.5984444444444444,100,0.4068295808772585,test,100,0.22228993172665143,5,5
82360.52100581262,nfcorpus,50,0.0006070869803807,bm25_no_rerank,0.0,0.4709563492063494,100,0.2861539020061345,test,100,0.2072042612651339,1,5
83.5027465128199,nfcorpus,50,0.598782699828007,fp32_reranker_cpu,86.68552494049072,0.5148333333333334,100,0.3120204134605886,test,100,0.2072042612651339,1,5
103.98340685027097,nfcorpus,50,0.48084594950804604,dynamic_int8_reranker_cpu,55.916077613830566,0.5110952380952383,100,0.3075843591269416,test,100,0.2072042612651339,1,5
