dataset,depth,int8_latency_ratio,int8_minus_fp32_mrr@10,int8_minus_fp32_ndcg@10,int8_minus_fp32_recall@100,int8_model_size_ratio,seed
arguana,20,0.7523652372670354,-0.0036071428571428643,-0.00493755424916098,0.0,0.6450451520275933,1
arguana,20,0.7509170032057486,-0.006075396825396845,-0.00728940184612642,0.0,0.6450451520275933,2
arguana,20,0.7573909141782311,-0.013067460317460311,-0.0195351334833061,0.0,0.6450451520275933,3
arguana,20,0.7565443127894386,2.7777777777654444e-05,-0.002293607229005512,0.0,0.6450451520275933,4
arguana,20,0.7483446492159859,-0.0009444444444444144,-0.005085373977662011,0.0,0.6450451520275933,5
arguana,50,0.7486428401751092,0.0011944444444444702,0.001273116330287094,0.0,0.6450451520275933,1
arguana,50,0.7522742171756528,-0.007226190476190442,-0.010236659259416747,0.0,0.6450451520275933,2
arguana,50,0.7511654348545905,-0.008619047619047637,-0.015491589716933485,0.0,0.6450451520275933,3
arguana,50,0.7535117917993697,-0.0005714285714286116,-0.000626436762838245,0.0,0.6450451520275933,4
arguana,50,0.7511304950979113,0.0008730158730159698,-0.005457774827422934,0.0,0.6450451520275933,5
arguana,100,0.7501038436875663,0.0023055555555555884,0.00418201149453723,0.0,0.6450451520275933,1
arguana,100,0.7504112688879653,-0.005797619047618968,-0.009074652414354067,0.0,0.6450451520275933,2
arguana,100,0.753136582504969,-0.00832142857142859,-0.013130283312883906,0.0,0.6450451520275933,3
arguana,100,0.7538068157842988,-0.000535714285714306,-0.000568784514883458,0.0,0.6450451520275933,4
arguana,100,0.7541100829806279,0.0019126984126983382,-0.0024606809266918273,0.0,0.6450451520275933,5
fiqa,20,0.7492380869236489,-0.007055555555555593,-0.0032534090702068807,0.0,0.6450451520275933,1
fiqa,20,0.7420817935769862,-0.008626984126984039,-0.002225673034162323,0.0,0.6450451520275933,2
fiqa,20,0.7781786488499546,-0.011805555555555458,-0.0051973390249523965,0.0,0.6450451520275933,3
fiqa,20,0.7742890063877625,-0.0016666666666667052,0.002441432498408558,0.0,0.6450451520275933,4
fiqa,20,0.7798113779458494,0.0038333333333332997,0.0024301453558949193,0.0,0.6450451520275933,5
fiqa,50,0.7704253387967533,-0.015027777777777696,-0.009983791586557378,0.0,0.6450451520275933,1
fiqa,50,0.8031145803559376,-0.01742857142857157,-0.009517288512783606,0.0,0.6450451520275933,2
fiqa,50,0.8056087731086669,-0.024027777777777815,-0.011934292512697453,0.0,0.6450451520275933,3
