dataset,maximum_candidate_cutoff,seed,method,retrieval_latency_s_per_query,reranker_latency_s_per_query,end_to_end_latency_s_per_query,latency_boundary
nfcorpus,20,4,fp32_reranker_cpu,0.0005599134601652622,0.25838551126200765,0.2589454247221729,retrieval_plus_reranker
nfcorpus,20,4,dynamic_int8_reranker_cpu,0.0005599134601652622,0.20574026137399778,0.20630017483416305,retrieval_plus_reranker
nfcorpus,20,5,bm25_no_rerank,0.0006416410699966946,,0.0006416410699966946,retrieval_only
nfcorpus,20,5,fp32_reranker_cpu,0.0006416410699966946,0.2571491446240252,0.2577907856940219,retrieval_plus_reranker
nfcorpus,20,5,dynamic_int8_reranker_cpu,0.0006416410699966946,0.20243249216597906,0.20307413323597576,retrieval_plus_reranker
nfcorpus,50,1,bm25_no_rerank,0.0006070869803807,,0.0006070869803807,retrieval_only
nfcorpus,50,1,fp32_reranker_cpu,0.0006070869803807,0.598782699828007,0.5993897868083877,retrieval_plus_reranker
nfcorpus,50,1,dynamic_int8_reranker_cpu,0.0006070869803807,0.48084594950804604,0.48145303648842674,retrieval_plus_reranker
nfcorpus,50,2,bm25_no_rerank,0.0006426890699003706,,0.0006426890699003706,retrieval_only
nfcorpus,50,2,fp32_reranker_cpu,0.0006426890699003706,0.6228678234079998,0.6235105124779002,retrieval_plus_reranker
nfcorpus,50,2,dynamic_int8_reranker_cpu,0.0006426890699003706,0.49136052853598083,0.4920032176058812,retrieval_plus_reranker
nfcorpus,50,3,bm25_no_rerank,0.0006204314698334202,,0.0006204314698334202,retrieval_only
nfcorpus,50,3,fp32_reranker_cpu,0.0006204314698334202,0.5789772397919878,0.5795976712618212,retrieval_plus_reranker
nfcorpus,50,3,dynamic_int8_reranker_cpu,0.0006204314698334202,0.4688367469419973,0.4694571784118307,retrieval_plus_reranker
nfcorpus,50,4,bm25_no_rerank,0.0005629225599841448,,0.0005629225599841448,retrieval_only
nfcorpus,50,4,fp32_reranker_cpu,0.0005629225599841448,0.6144647668120233,0.6150276893720075,retrieval_plus_reranker
nfcorpus,50,4,dynamic_int8_reranker_cpu,0.0005629225599841448,0.4861158523900158,0.48667877494999995,retrieval_plus_reranker
nfcorpus,50,5,bm25_no_rerank,0.0006704643200646387,,0.0006704643200646387,retrieval_only
nfcorpus,50,5,fp32_reranker_cpu,0.0006704643200646387,0.5919226680480205,0.5925931323680852,retrieval_plus_reranker
nfcorpus,50,5,dynamic_int8_reranker_cpu,0.0006704643200646387,0.4669240400540075,0.46759450437407213,retrieval_plus_reranker
nfcorpus,100,1,bm25_no_rerank,0.0006075013203371782,,0.0006075013203371782,retrieval_only
nfcorpus,100,1,fp32_reranker_cpu,0.0006075013203371782,1.0998803205499934,1.1004878218703307,retrieval_plus_reranker
nfcorpus,100,1,dynamic_int8_reranker_cpu,0.0006075013203371782,0.8705178982319921,0.8711253995523293,retrieval_plus_reranker
nfcorpus,100,2,bm25_no_rerank,0.0006398955202166689,,0.0006398955202166689,retrieval_only
nfcorpus,100,2,fp32_reranker_cpu,0.0006398955202166689,1.129987358003993,1.1306272535242097,retrieval_plus_reranker
nfcorpus,100,2,dynamic_int8_reranker_cpu,0.0006398955202166689,0.9069223906039915,0.9075622861242082,retrieval_plus_reranker
nfcorpus,100,3,bm25_no_rerank,0.0006331470699296915,,0.0006331470699296915,retrieval_only
nfcorpus,100,3,fp32_reranker_cpu,0.0006331470699296915,1.0444224881839692,1.0450556352538989,retrieval_plus_reranker
nfcorpus,100,3,dynamic_int8_reranker_cpu,0.0006331470699296915,0.8299969309640073,0.830630078033937,retrieval_plus_reranker
nfcorpus,100,4,bm25_no_rerank,0.0005546182197940652,,0.0005546182197940652,retrieval_only
nfcorpus,100,4,fp32_reranker_cpu,0.0005546182197940652,1.1245015140519607,1.1250561322717547,retrieval_plus_reranker
nfcorpus,100,4,dynamic_int8_reranker_cpu,0.0005546182197940652,0.9014422174959691,0.9019968357157632,retrieval_plus_reranker
nfcorpus,100,5,bm25_no_rerank,0.0006718870898112072,,0.0006718870898112072,retrieval_only
nfcorpus,100,5,fp32_reranker_cpu,0.0006718870898112072,1.108080350741955,1.1087522378317662,retrieval_plus_reranker
nfcorpus,100,5,dynamic_int8_reranker_cpu,0.0006718870898112072,0.904114798182025,0.9047866852718363,retrieval_plus_reranker
fiqa,20,1,bm25_no_rerank,0.04471393997988343,,0.04471393997988343,retrieval_only
fiqa,20,1,fp32_reranker_cpu,0.04471393997988343,0.3290869684779755,0.3738009084578589,retrieval_plus_reranker
fiqa,20,1,dynamic_int8_reranker_cpu,0.04471393997988343,0.24656449069394148,0.2912784306738249,retrieval_plus_reranker
fiqa,20,2,bm25_no_rerank,0.04415499009995983,,0.04415499009995983,retrieval_only
fiqa,20,2,fp32_reranker_cpu,0.04415499009995983,0.331040772235996,0.3751957623359558,retrieval_plus_reranker
fiqa,20,2,dynamic_int8_reranker_cpu,0.04415499009995983,0.2456593300079985,0.2898143201079583,retrieval_plus_reranker
fiqa,20,3,bm25_no_rerank,0.048489522189702254,,0.048489522189702254,retrieval_only
fiqa,20,3,fp32_reranker_cpu,0.048489522189702254,0.32237183778397593,0.3708613599736782,retrieval_plus_reranker
fiqa,20,3,dynamic_int8_reranker_cpu,0.048489522189702254,0.2508628811540111,0.2993524033437134,retrieval_plus_reranker
fiqa,20,4,bm25_no_rerank,0.046153574580130224,,0.046153574580130224,retrieval_only
fiqa,20,4,fp32_reranker_cpu,0.046153574580130224,0.32377941960401224,0.3699329941841425,retrieval_plus_reranker
fiqa,20,4,dynamic_int8_reranker_cpu,0.046153574580130224,0.2506988450939971,0.29685241967412734,retrieval_plus_reranker
fiqa,20,5,bm25_no_rerank,0.044203719579854805,,0.044203719579854805,retrieval_only
fiqa,20,5,fp32_reranker_cpu,0.044203719579854805,0.3180058370360639,0.3622095566159187,retrieval_plus_reranker
fiqa,20,5,dynamic_int8_reranker_cpu,0.044203719579854805,0.2479845699739162,0.292188289553771,retrieval_plus_reranker
fiqa,50,1,bm25_no_rerank,0.04481575918995077,,0.04481575918995077,retrieval_only
fiqa,50,1,fp32_reranker_cpu,0.04481575918995077,0.8257366703300213,0.870552429519972,retrieval_plus_reranker
