candidates_per_second,dataset,depth,latency_s_per_query,method,model_size_mb,mrr@10,n_queries,ndcg@10,qrels_split,query_cap,recall@100,seed,timing_repeats,maximum_candidate_cutoff,actual_candidate_count,corrected_throughput,retrieval_latency_s_per_query,reranker_latency_s_per_query,end_to_end_latency_s_per_query,method_latency_boundary
6641.126355653187,scifact,20,0.003011537340044015,bm25_no_rerank,0.0,0.7039285714285713,100,0.7430290766937216,test,100,0.9,1,5,20,20.0,6641.126355653187,0.003011537340044015,,0.003011537340044015,retrieval_only
64.7929886698259,scifact,20,0.3086753738420157,fp32_reranker_cpu,86.68552494049072,0.6981071428571429,100,0.7334422754034358,test,100,0.9,1,5,20,20.0,64.7929886698259,0.003011537340044015,0.3086753738420157,0.3116869111820597,retrieval_plus_reranker
83.99281676567642,scifact,20,0.23811560047802777,dynamic_int8_reranker_cpu,55.916077613830566,0.7002777777777777,100,0.7346989725871955,test,100,0.9,1,5,20,20.0,83.99281676567642,0.003011537340044015,0.23811560047802777,0.24112713781807177,retrieval_plus_reranker
6538.419020893606,scifact,20,0.00305884342011268,bm25_no_rerank,0.0,0.6516785714285714,100,0.6720783320110995,test,100,0.8206666666666667,2,5,20,20.0,6538.419020893606,0.00305884342011268,,0.00305884342011268,retrieval_only
65.18958652697623,scifact,20,0.30679746667397195,fp32_reranker_cpu,86.68552494049072,0.6650952380952382,100,0.6862831073265322,test,100,0.8206666666666667,2,5,20,20.0,65.18958652697623,0.00305884342011268,0.30679746667397195,0.30985631009408465,retrieval_plus_reranker
82.52875442204041,scifact,20,0.24233977769400009,dynamic_int8_reranker_cpu,55.916077613830566,0.6611944444444445,100,0.6838148697883065,test,100,0.8206666666666667,2,5,20,20.0,82.52875442204041,0.00305884342011268,0.24233977769400009,0.24539862111411276,retrieval_plus_reranker
6833.567720294463,scifact,20,0.0029267288799383097,bm25_no_rerank,0.0,0.6877896825396824,100,0.7147762180747904,test,100,0.8656666666666666,3,5,20,20.0,6833.567720294463,0.0029267288799383097,,0.0029267288799383097,retrieval_only
63.64161917331216,scifact,20,0.3142597605119845,fp32_reranker_cpu,86.68552494049072,0.7081785714285715,100,0.7286778663772426,test,100,0.8656666666666666,3,5,20,20.0,63.64161917331216,0.0029267288799383097,0.3142597605119845,0.31718648939192284,retrieval_plus_reranker
83.03380090533453,scifact,20,0.2408657652899892,dynamic_int8_reranker_cpu,55.916077613830566,0.7064444444444444,100,0.7249242490105102,test,100,0.8656666666666666,3,5,20,20.0,83.03380090533453,0.0029267288799383097,0.2408657652899892,0.24379249416992751,retrieval_plus_reranker
6290.621966627156,scifact,20,0.0031793358599679776,bm25_no_rerank,0.0,0.5994563492063493,100,0.6371884155329548,test,100,0.8066666666666665,4,5,20,20.0,6290.621966627156,0.0031793358599679776,,0.0031793358599679776,retrieval_only
63.87475902136832,scifact,20,0.3131127272559934,fp32_reranker_cpu,86.68552494049072,0.6150833333333334,100,0.6435818167926507,test,100,0.8066666666666665,4,5,20,20.0,63.87475902136832,0.0031793358599679776,0.3131127272559934,0.31629206311596136,retrieval_plus_reranker
83.29223052427166,scifact,20,0.24011843450598827,dynamic_int8_reranker_cpu,55.916077613830566,0.6313055555555558,100,0.6572773704084114,test,100,0.8066666666666665,4,5,20,20.0,83.29223052427166,0.0031793358599679776,0.24011843450598827,0.24329777036595626,retrieval_plus_reranker
6561.450160614793,scifact,20,0.0030481066700849624,bm25_no_rerank,0.0,0.62025,100,0.6453074534299583,test,100,0.7965000000000001,5,5,20,20.0,6561.450160614793,0.0030481066700849624,,0.0030481066700849624,retrieval_only
63.79852595808392,scifact,20,0.3134868666580187,fp32_reranker_cpu,86.68552494049072,0.6341785714285715,100,0.6576158698108006,test,100,0.7965000000000001,5,5,20,20.0,63.79852595808392,0.0030481066700849624,0.3134868666580187,0.3165349733281037,retrieval_plus_reranker
83.40839300076485,scifact,20,0.23978402269201615,dynamic_int8_reranker_cpu,55.916077613830566,0.6343452380952381,100,0.6577429979825495,test,100,0.7965000000000001,5,5,20,20.0,83.40839300076485,0.0030481066700849624,0.23978402269201615,0.2428321293621011,retrieval_plus_reranker
15932.349916885767,scifact,50,0.003138269009959913,bm25_no_rerank,0.0,0.7039285714285713,100,0.7430290766937216,test,100,0.9325,1,5,50,50.0,15932.349916885767,0.003138269009959913,,0.003138269009959913,retrieval_only
62.980537659903234,scifact,50,0.7938960488079901,fp32_reranker_cpu,86.68552494049072,0.6968452380952381,100,0.7302884684859179,test,100,0.9325,1,5,50,50.0,62.980537659903234,0.003138269009959913,0.7938960488079901,0.7970343178179501,retrieval_plus_reranker
79.93458394579007,scifact,50,0.6255114811620078,dynamic_int8_reranker_cpu,55.916077613830566,0.6994166666666668,100,0.7318404877490409,test,100,0.9325,1,5,50,50.0,79.93458394579007,0.003138269009959913,0.6255114811620078,0.6286497501719678,retrieval_plus_reranker
15978.70322667464,scifact,50,0.003129165069949522,bm25_no_rerank,0.0,0.6516785714285714,100,0.6720783320110995,test,100,0.8846666666666667,2,5,50,50.0,15978.70322667464,0.003129165069949522,,0.003129165069949522,retrieval_only
61.90647988582438,scifact,50,0.8076698932359941,fp32_reranker_cpu,86.68552494049072,0.661484126984127,100,0.6886809435934661,test,100,0.8846666666666667,2,5,50,50.0,61.90647988582438,0.003129165069949522,0.8076698932359941,0.8107990583059437,retrieval_plus_reranker
79.54016970513906,scifact,50,0.6286131923700122,dynamic_int8_reranker_cpu,55.916077613830566,0.6577777777777779,100,0.6893093250435599,test,100,0.8846666666666667,2,5,50,50.0,79.54016970513906,0.003129165069949522,0.6286131923700122,0.6317423574399618,retrieval_plus_reranker
16731.554759470342,scifact,50,0.0029883654399600348,bm25_no_rerank,0.0,0.6877896825396824,100,0.7147762180747904,test,100,0.9196666666666666,3,5,50,50.0,16731.554759470342,0.0029883654399600348,,0.0029883654399600348,retrieval_only
62.70024682317797,scifact,50,0.7974450266680105,fp32_reranker_cpu,86.68552494049072,0.6864444444444446,100,0.7171252135335265,test,100,0.9196666666666666,3,5,50,50.0,62.70024682317797,0.0029883654399600348,0.7974450266680105,0.8004333921079706,retrieval_plus_reranker
80.77914598300951,scifact,50,0.6189716342200081,dynamic_int8_reranker_cpu,55.916077613830566,0.6863333333333336,100,0.7176259454558991,test,100,0.9196666666666666,3,5,50,50.0,80.77914598300951,0.0029883654399600348,0.6189716342200081,0.6219599996599682,retrieval_plus_reranker
15698.396823742829,scifact,50,0.003185038610081392,bm25_no_rerank,0.0,0.5994563492063493,100,0.6371884155329548,test,100,0.8366666666666666,4,5,50,50.0,15698.396823742829,0.003185038610081392,,0.003185038610081392,retrieval_only
61.83885833351315,scifact,50,0.8085530901999664,fp32_reranker_cpu,86.68552494049072,0.6164444444444446,100,0.6466259781668288,test,100,0.8366666666666666,4,5,50,50.0,61.83885833351315,0.003185038610081392,0.8085530901999664,0.8117381288100477,retrieval_plus_reranker
80.89394216542644,scifact,50,0.6180932547180237,dynamic_int8_reranker_cpu,55.916077613830566,0.6264444444444446,100,0.6535008776682032,test,100,0.8366666666666666,4,5,50,50.0,80.89394216542644,0.003185038610081392,0.6180932547180237,0.621278293328105,retrieval_plus_reranker
16318.3245073804,scifact,50,0.0030640400598349517,bm25_no_rerank,0.0,0.62025,100,0.6453074534299583,test,100,0.8654999999999999,5,5,50,50.0,16318.3245073804,0.0030640400598349517,,0.0030640400598349517,retrieval_only
